date,route,time,day,location,incident,min_delay,min_gap,direction,vehicle
2024-01-01,89,2024-09-27T02:08:00Z,Monday,KEELE AND GLENLAKE,Vision,10,20,N,7107
2024-01-01,65,2024-09-27T03:23:00Z,Monday,PARLIAMENT AND BLOOR,Security,0,0,N,8574
2024-01-01,320,2024-09-27T03:40:00Z,Monday,YONGE AND QUEENSQUAY,Operations - Operator,8,16,N,8192
2024-01-01,171,2024-09-27T04:00:00Z,Monday,MOUNT DENNIS GARAGE,General Delay,20,20,S,1402
2024-01-01,12,2024-09-27T04:02:00Z,Monday,VICTORIA PARK AND DANF,Emergency Services,21,42,N,8616
2024-01-01,300,2024-09-27T04:11:00Z,Monday,DANFORTH AND WOODBINE,Security,10,20,W,3335
2024-01-01,127,2024-09-27T04:15:00Z,Monday,GARDINER AND PARKLAWN,Utilized Off Route,0,0,W,8133
2024-01-01,64,2024-09-27T04:23:00Z,Monday,KINGSTON AND SOUTHWOOD,Cleaning - Unsanitary,30,60,E,8453
2024-01-01,25,2024-09-27T05:00:00Z,Monday,FRESH MEDOW AND DON MI,Security,0,0,W,8625
2024-01-01,19,2024-09-27T05:52:00Z,Monday,BAY AND YORKVILLE,Emergency Services,30,60,N,8498
2024-01-01,300,2024-09-27T06:06:00Z,Monday,EGLINTON AND SOUTH SER,Security,0,0,E,8562
2024-01-01,300,2024-09-27T06:19:00Z,Monday,BLOOR AND DUNDAS W,Diversion,18,38,W,8579
2024-01-01,35,2024-09-27T06:23:00Z,Monday,PIONEER VILLAGE,General Delay,20,40,S,1119
2024-01-01,168,2024-09-27T06:49:00Z,Monday,DUNDAS AND BLOOR,Diversion,20,110,S,7221
2024-01-01,600,2024-09-27T06:51:00Z,Monday,DANFORTH AND SIBLEY (W,Security,23,46,W,3338
2024-01-01,39,2024-09-27T07:09:00Z,Monday,FINCH AND KENNEDY,Mechanical,12,24,W,3163
2024-01-01,51,2024-09-27T07:14:00Z,Monday,DUPLEX AND EGLINTON,Mechanical,21,42,N,3111
2024-01-01,54,2024-09-27T07:21:00Z,Monday,EGLINTON AND BESSBOROU,Mechanical,14,28,E,8756
2024-01-01,900,2024-09-27T07:47:00Z,Monday,TERMINAL 3,Security,8,16,S,3338
2024-01-01,93,2024-09-27T07:56:00Z,Monday,EGLINTON GARAGE,Operations - Operator,30,60,S,8643
2024-01-01,54,2024-09-27T08:29:00Z,Monday,LESLIE AND EGLINTON,Mechanical,15,30,W,8803
2024-01-01,7,2024-09-27T08:36:00Z,Monday,BATHURST STATION,Mechanical,10,20,N,8386
2024-01-01,935,2024-09-27T08:39:00Z,Monday,KIPLING STATION,Operations - Operator,10,20,N,1101
2024-01-01,75,2024-09-27T09:02:00Z,Monday,QUEENS QUAY AND LOWER,Emergency Services,24,48,N,8564
2024-01-01,34,2024-09-27T09:06:00Z,Monday,EGLINTON AND LEBOVIC,Mechanical,11,15,W,8777
2024-01-01,97,2024-09-27T09:51:00Z,Monday,YONGE AND ST CLAIR,Cleaning - Unsanitary,55,110,S,3516
2024-01-01,122,2024-09-27T09:52:00Z,Monday,YORK MILLS AND BIRCHWO,Mechanical,30,60,W,1618
2024-01-01,54,2024-09-27T10:27:00Z,Monday,EGLINTON AND BAYVIEW,Mechanical,8,16,E,8823
2024-01-01,131,2024-09-27T10:33:00Z,Monday,SCARBOROUGH CENTRE STA,Mechanical,15,30,E,3420
2024-01-01,112,2024-09-27T11:24:00Z,Monday,KIPLING STATION,Operations - Operator,22,44,N,8123
2024-01-01,86,2024-09-27T11:36:00Z,Monday,ELLESMERE AND MEADOWVA,Diversion,0,0,W,1326
2024-01-01,52,2024-09-27T11:40:00Z,Monday,AVENUE AND WILSON,Mechanical,10,20,S,1366
2024-01-01,95,2024-09-27T11:43:00Z,Monday,ELLESMERE AND MEADOWVA,Diversion,15,35,W,1277
2024-01-01,26,2024-09-27T11:50:00Z,Monday,ANNETTE AND KEELE,Diversion,6,34,W,8086
2024-01-01,86,2024-09-27T12:01:00Z,Monday,EGLINTON AND MARKHAM,Collision - TTC,7,15,W,3648
2024-01-01,960,2024-09-27T12:12:00Z,Monday,PIONEER VILLAGE STATIO,Operations - Operator,10,20,E,8360
2024-01-01,84,2024-09-27T13:14:00Z,Monday,ARROW GARAGE,Mechanical,10,20,E,3582
2024-01-01,41,2024-09-27T13:50:00Z,Monday,KEELE AND YPRES,Mechanical,12,24,N,7222
2024-01-01,50,2024-09-27T14:22:00Z,Monday,BURNHAMTHORPE AND MART,Security,10,20,W,8080
2024-01-01,32,2024-09-27T14:39:00Z,Monday,EGLINTON WEST STATION,Cleaning - Unsanitary,20,40,W,7281
2024-01-01,131,2024-09-27T14:39:00Z,Monday,KENNEDY STATION,Cleaning - Unsanitary,20,40,W,1357
2024-01-01,123,2024-09-27T14:49:00Z,Monday,KIPLING STATION,Mechanical,20,40,S,8059
2024-01-01,7,2024-09-27T15:22:00Z,Monday,VILLAGE GATE AND BATHU,Cleaning - Unsanitary,8,16,W,8191
2024-01-01,45,2024-09-27T16:27:00Z,Monday,KIPLING AND N HEIGHTS,Security,10,20,S,7219
2024-01-01,169,2024-09-27T16:32:00Z,Monday,SCARBOROUGH CENTRE STA,Operations - Operator,30,60,W,1240
2024-01-01,102,2024-09-27T16:50:00Z,Monday,MARKHAM AND STEELES,Mechanical,7,14,S,3423
2024-01-01,11,2024-09-27T17:15:00Z,Monday,STEELES AND BAYVIEW LO,Emergency Services,30,60,N,8748
2024-01-01,42,2024-09-27T17:20:00Z,Monday,MCNICOLL AND KENNEDY,Mechanical,20,40,E,3215
2024-01-01,59,2024-09-27T17:22:00Z,Monday,LAWRENCE WEST STATION,Operations - Operator,45,90,W,3515
2024-01-01,96,2024-09-27T17:25:00Z,Monday,1700 WILSON,Mechanical,20,40,E,3577
2024-01-01,111,2024-09-27T17:47:00Z,Monday,KIPLING STATION,Mechanical,12,24,N,7931
2024-01-01,67,2024-09-27T18:13:00Z,Monday,PHARMACY AND LAWRENCE,Diversion,56,72,N,8792
2024-01-01,38,2024-09-27T18:38:00Z,Monday,ELLESMERE AND MARKHAM,Mechanical,12,24,W,1298
2024-01-01,600,2024-09-27T19:04:00Z,Monday,ANNETTE AND RUNNYMEDE,Mechanical,5,10,E,1353
2024-01-01,19,2024-09-27T19:09:00Z,Monday,BAY AND WELLESLEY,Diversion,28,53,N,8588
2024-01-01,116,2024-09-27T19:18:00Z,Monday,KINGSTON AND GUILDWOOD,Diversion,141,148,E,1318
2024-01-01,189,2024-09-27T19:54:00Z,Monday,ST CLAIR AND MONDOVI (,Operations - Operator,28,56,W,8151
2024-01-01,84,2024-09-27T19:54:00Z,Monday,SHEPPARD AND JANE,Operations - Operator,10,20,E,3573
2024-01-01,12,2024-09-27T19:56:00Z,Monday,KENNEDY STATION,Cleaning - Unsanitary,17,34,E,8614
2024-01-01,39,2024-09-27T20:00:00Z,Monday,NEILSON AND CROW TRAIL,Mechanical,5,10,W,3135
2024-01-01,53,2024-09-27T20:09:00Z,Monday,STEELES AND WOODBINE,Mechanical,10,20,W,3307
2024-01-01,95,2024-09-27T20:30:00Z,Monday,ELLESMERE AND PHARMACY,Security,10,20,E,1249
2024-01-01,108,2024-09-27T21:02:00Z,Monday,GRANDRAVINE AND OLLERT,Investigation,90,60,W,8878
2024-01-01,96,2024-09-27T21:18:00Z,Monday,HUMBERLINE AND ALBION,Mechanical,20,40,W,3584
2024-01-01,70,2024-09-27T21:26:00Z,Monday,OCONNOR AND DOHME,Diversion,0,0,N,8577
2024-01-01,52,2024-09-27T21:47:00Z,Monday,EGLINTON STATION,Operations - Operator,24,48,W,9208
2024-01-01,46,2024-09-27T22:11:00Z,Monday,STEELES AND MARTIN GRO,Emergency Services,15,30,E,8037
2024-01-01,903,2024-09-27T22:25:00Z,Monday,KENNEDY STATION,Emergency Services,15,30,E,9096
2024-01-01,57,2024-09-27T22:29:00Z,Monday,NORTH SERVICE AND EGLI,Mechanical,25,50,S,3210
2024-01-01,169,2024-09-27T22:47:00Z,Monday,MCCOWAN AND 401,Diversion,60,90,S,1242
2024-01-01,131,2024-09-27T22:47:00Z,Monday,MCCOWAN AND HWY 401,Diversion,60,75,N,3405
2024-01-01,61,2024-09-27T22:55:00Z,Monday,AVENUE AND HWY 401,Diversion,640,660,N,0
